NAMA DESA,NAMA KABUPATEN,profil_desa
Kaligayam,Tegal Kabupaten," Wisata Religi   Khaul KH. Abu ‘Ubaidah dan Khaul KH. Sa’id bin KH. Armia Krupuk Rambak Seni Kerajinan Bordir Seni Hadroh Desa Wisata Kaligayam merupakan desa wisata religi yang terletak di Wilayah Kecamatan Talang Kabupaten Tegal Provinsi Jawa Tengah yang berjarak 3 Km ke arah utara dari Kota Slawi , memiliki 23 Rukun Tetangga yang dibawahi oleh 6 Rukun Warga. Terdpat daya tarik berupa makam ulama besar dan waliyulloh Kyai Said bin Kyai Armia dan Pondok Pesantren Attauhidiyah yang bertempat di dukuh giren desa Kaligayam Kecamatan Talang Kabupaten Tegal"
Muncanglarang,Tegal Kabupaten,Sendang Kemadu    Festival Budaya Daerah dan Seni keripik pisang  Terbang Jawa dan Hadroh Sendang Kemadu adalah lokasi wisata yang berbentuk telaga. Merupakan sumber mata air warga dukuh pereng desa Muncanglarang Kecamatan Bumijawa untuk kebutuhan sehari-hari. Lokasi desa wisata berada di wilayah pegunungan yang dikelilingi pepohonan yang menjulang tinggi disertai suasana yang sejuk dan nyaman menjadikan desa wisata muncanglarang  menjadi tujuan wisata yang menarik
Sigedong,Tegal Kabupaten,"Kampoeng Sayur    Festival Kampoeng Sayur Ondol, Ganyong, Stek Kentang, Keripik Sayur  Kuda Lumping, Kuntulan, Terbang Jawa, Hadroh Kampoeng Sayur adalah lokasi wisata yang bernuansa alam, lokasi desa wisata berada di wilayah pegunungan sebagai penghasil sayur. Sebagian besar warga masyarakat bekerja sebagai petani sayur. Serta kekayaan sumber daya alam yang sejuk dan nyaman menjadikan desa wisata sigedong menjadi tujuan wisata yang menarik"
Dukuh Kajongan,Tegal Kota,"Wisata Mangrove  Kesenian Balo-Balo  Wisata Memancing   Bandeng Presto, Ikan Bakar, Terasi Kerajinan Kerang Kesenian Balo - Balo  Sebuah desa yang menawarkan pengalaman wisata edukasi kepada pengunjung dengan menonjolkan keindahan ekowisata/agrowisata berupa area tambak ikan yang dikelilingi oleh tanaman mangrove dan memiliki banyak spot yang strategis untuk memancing ikan serta didukung oleh produksi hasil perikanan darat dan laut"
Liyangan,Temanggung," Situs Liyangan Pemandian mata air alami  Nyadran Tuk Tempurung Nasi jagung, Sirum kemar, kopi lanang Kerajinan topeng, kostum tari tradisional, cinderamata kayu kuda kepang, lengger Desa wisata dengan karakteristik budaya yang memiliki peninggalan situs bersejarah abad Mataram Kuno yang sedang dalam proses ekskavasi"
Cepit Pagergunung,Temanggung,"Pemandangan alam lereng Gunung Sumbing Punden Makukuhan   Nyadran Rejeb Plabengan nasi jagung, sawut, tempe ketan, kopi lamsi, teh maringgo kerajinan pakaian badong, tenun lidi, tas pelepah pisang Tari Kuda Lumping Desa wisata dengan mengangkat tema alam pertanian tembakau dan sayuran khas lereng Gunung Sumbing"
Makukuhan,Temanggung," Ziarah Makam Ki Ageng Makukuhan   Kirab Ki Ageng Makukuhan  kupat sambel, ndog bulus, kuban ramban  sendratari Kembang Madu desa wisata yang mendukung aktivitas daya tarik wisata religi Ziarah Makam Ki Ageng Makukuhan"
Tirto Aji,Temanggung,"  Sendang Sidhukun  Suran Traji kripik nila, jenang candhil, jamu jawa keranjang tembakau, kurungan ayam Kuda Lumping desa wisata berbasis budaya masyarakat lokal berbasis pertanian dan budaya dengan didukung keberadaan Sendang Sidhukun sebagai daya tarik unggulan"
Dewi Eramaya (Desa Wisata Ngropoh),Temanggung," Embung Abimanyu  Kebun durian Festival Durian Ngropoh buah durian  kuda lumping, warok desa wisata yang memiliki potensi unggulan budi daya buah durian dengan didukung daya tarik wisata buatan Embung Abimanyu"
Conto,Wonogiri,"Hutan Pinus,Air Terjun,Goa Kesenian Reyog, Angklung, Rekso Bumi,Gamelan,Rebana   Pertanian, Wisata Buah,Soko Langit Arena Outbond Reksa Bumi,Pawai Hari Santri Nasional Cincau,Janggelan, Jamu,Nasi Tiwul,Gethuk,,Gathot,Panggang,Wi Godok,Gendar,Pecel,Trancam,Nogosari,Klepon,Apem,Bothok,Tempe lam,Bunthil,Sandung Lamur,Krupuk Puli,Jenang,Arem-Arem,Lemper,Oblok-oblok,Jangan Lombok,Pathi Onggok,Sayur Klekah,Olahan Laron,Sambel Welut,Utri,Sadariah,Satelit,Satrio Mujung,Ontel,Pelas,Bongko. Akarwangi, Ukir Sandal,Mebel,Terompet,Gelang Kopi,Layang-Layang,Dadak Merak,Topeng,Lukisan,Kendhang,Bunga Klobot Reyog, Angklung, Karawitan Desa Conto merupakan desa wisata baru yang menawarkan berbagai wisata edukasi alam dan budaya. Desa Conto sendiri terletak di sisi selatan lereng Gunung Lawu dan secara administratif terletak diKecamatan Bulukerto, Wonogiri, Jawa Tengah. Di sana, wisatawan akan menikmati berbagai keindahan alam yang memukau dan menikmati pertunjukan budaya yang unik. Tak hanya itu, wisatawan juga akan dikenalkan dengan berbagaipengetahuan baru tentang segala kekayaan alam maupun budaya yang ada"
Kepohsari,Wonogiri,"Pesona Gunung Kotak, Air Terjun Banyu Nibo, Kampung Batu Wayang Kulit, Reog, Tayub, Angklung    Tiwul, Besengek, Sayur Lombok, Bothok Daun Racun Wayang Kulit, Souvenir Kulit, Anyaman Bambu Reyog, Karawitan, Tayub, Wayang Kulit Desa Kepuhsari merupakan salah satu desa di Kecamatan Manyaran Kabupaten Wonogiri wilayah Soloraya. Desa Kepuhsari bisa ditempuh dari Kota Solo dengan waktu tempuh kurang lebih 1 jam, dan dari Kota Yogyakarta dengan waktu tempuh kurang lebih 1,5 jam. Desa Wisata Kampung Wayang memiliki panorama alam yang indah , asri dan udara pegunungan yang sejuk, terdapat pula : • Air terjun banyu nibo • Kampung batu .• Gunung batu yang dari puncaknya dapat  untuk meikmati indahnya  matahari terbit. Mengapa Desa Kepuhsari disebut kampung wayang, karena disana sebagian besar warganya pengrajin/pembuat Wayang Kulit. Disana banyak telah dikunjungi para siswa baik dari SD/SMP/SMA maupun perguruan tinggi bahkan Wisatawan manca negara untuk mengikuti Workshop cara membuat Wayang Kulit dan Melukis dengan media dari kaca. Dan hebatnya dari hasil workshop tersebut bisa langsung dibawa pulang oleh para peserta sebagai cindera mata.Selamat berkunjung di Desa Wisata Kampung Wayang Desa Kepuhsari Kecamatan Manyaran Kabupaten Wonogiri"
Sembungan (Bukit Sikunir),Wonosobo,"Telaga Cebong, Sunrise Bukit Sikunir     carica, purwaceng, kentang godok  rodad Wisata Alam Telaga Cebong Dan Sunrise di puncak bukit Sikunir "
Lembah Seroja,Wonosobo,"Wisata alam Bukit Seroja, kebun teh Tambi    Ruwatan rambut Gimbal   Calung sebuah bukit di atas telaga menjer yang dikelilingi perkebunan   teh"
Pesona Bhima,Wonosobo,"Sumber Mata Air sungai Serayu, Kawasan Wisata Dieng    Prosesi Pengambilan Mata Air suci untuk acara Birat   Sengkolo di Sumber Mata Air serayu dan Goa Semar Carica, Purwaceng, Kentang godok  Tari emblek Selain terdapat Daya Tarik Wisata Candi, Kawah, Telaga Warna dan sumber mata air serayu, Ds. Dieng Juga merupaka gerbang pendakian Gn. Prahu"
Krinjing ( Bukit Sembrani),Wonosobo,"Wisata alm Bukit Sembrani, endakian Gunung Bisma, Curug Gendruwo Wisata Religi  Bumi Perkemahan  Nasi Nasi Jagung, Buntil Pepes Teri,Madu lebah, jus kemar, jembawut Sapu Glagah  perbukitan di kaki Gn Bismo yang tertata asri yang menyuguguhkan Wisata alam yang indah yang ditumbuhi hutan pinus, juga terdapat petilasan Bupati Tuban Ke III dan Beberapa Makam Yang dikeramatkan"
Gajah Mada,Wonosobo,"   Kebun Durian Festival Durian Durian, Kueh Lompong, Pucung Kluwek   desa yang menyajikan kebun durian dengan hasil buah yang melimpah, terletak di tepian kota wonosobo dengan akses jalan yang mudah ditempuh oleh Wisatawan."
Lobang Sewu,Wonosobo,"Waduk, Lobang Sewu(Jenis Bebatuan berlobang mirip candi ditepian Waduk)   Banana Boat  thiwul/leye ( makanan dari ubi)   kumpulan bebatuan di sepanjang tepian waduk yang mirip bangunan candi yang terbentuk oles ombak air waduk"
Gerbang Dewa,Wonosobo," Kebudayaan tari klasik dan tari kontemporer   Nyadran   Tari Lengger dan Tari Kuda Kepang, Tari Topeng desa wisata yang menyuguhkan tari klasik dan tari kontemporer, juga merupakan pusat pelatihan tari lengger di Wonosobo"
Mutiara Sindoro/ Taro Anggro,Wonosobo," Wisata Religi Goa Maria, Tari Lengger       Desa Wisata di lereng Gn. Sindoro dengan udara yang sejuk dengan pemandangan alam yang indah, juga terdapat tempat wisata religi goa bunda maria"
Dewi Sri,Wonosobo,"Tubbing Hulu Serayu lengger    kenci tempe kemul ayam panggang  Barongsai, rodad, Lengger, Kuda Kepang sebuah Desa Wisata yang terletak diwilayah kecamatan Garung arah menuju Dieng, yang menyuguhkan atraksi tubbing hulusungai Serayu, Wisata alam dan berbagai atraks kesenian, diantaranya barongsai, rodad, lengger, kuda kepang dll"
Bumi lestari,Wonosobo,"Curug Winong       karawitan 3 kelompok, 6 kelompok kuda kepang Desa Wiata yang menyajikan keindahan alam curug yang di hiasi dinding batu  dan pemandangan alam yang masih asli"
Candirejo,Wonosobo,"  Situs Purbakala  Nyadran Kue apem Enthik, Cething Lengger dan Kuda kepang banyak ditemukan pemakam kuno dan batuan candi, tradisi nyadran  Dan wisata religi makam Syeh Qodbudin"
Pathak Banteng,Wonosobo,"Tracking / Pendakian Gn. Prahu, Sunrise Gn Prahu, Bukit Teletubbies        Desa Wisata yang terletak di sebelah selatan Dieng, atau tepatnya desa yang berbatasan dengan Dieng yang merupakan area starting pendakian Gn. Prahu, dan Perbukitan Teletubbies"
